Date,Customer ID,Name,Job ID,Job Description,Account ID,Account Description,Invoice/CM No,Line Description,Purchase Order No,Amount,,,
3/14/19,Targa Pipeline,Targa Pipeline Mid-Continent WestTexLLC,,,11100-0000,AR - Trade,IN4395,Targa Pipeline Mid-Continent WestTexLLC,TAR79777,"127,462.50",,,
3/15/19,Cureton,Cureton Midstream,,,11100-0000,AR - Trade,IN4397,Cureton Midstream,CM-PO-0199,"13,847.98",,,
3/15/19,Targa Delaware C/O,Targa Delaware LLC,,,11100-0000,AR - Trade,IN4396,Targa Delaware LLC,TAR80313,"127,462.50",,,
3/18/19,CalEnergy,Calenergy Operating Corporation,,,11100-0000,AR - Trade,IN4398,Calenergy Operating Corporation,267499,"39,133.34",,,
3/19/19,Linde Processing,Linde Engineering North America Inc.,,,11100-0000,AR - Trade,IN4388,Linde Engineering North America Inc.,004 2KA3070,"38,150.00",,,
3/19/19,LAT Europe Belgium,LAT Europe,,,11100-0000,AR - Trade,IN4399,LAT Europe,FNRLATE1896,"14,910.00",,,
3/20/19,Targa Midstream,Targa Midstream Service LLC-STRDDLE,,,11100-0000,AR - Trade,IN4402,Targa Midstream Service LLC-STRDDLE,TAR82365,"15,818.16",,,
3/20/19,Flint Hills,"Flint Hills Resources Houston Chem.,LLC",,,11100-0000,AR - Trade,IN4403,"Flint Hills Resources Houston Chem.,LLC",HCP21747,"4,438.32",,,
3/21/19,CalEnergy,Calenergy Operating Corporation,,,11100-0000,AR - Trade,IN4404,Calenergy Operating Corporation,267625,"27,915.92",,,
3/22/19,OPD,Optimized Process Designs,,,11100-0000,AR - Trade,IN4400,Optimized Process Designs,C1019348-CA17061-030,"236,476.00",,,
3/22/19,Superior,"Superior Pipeline Texas, LLC",,,11100-0000,AR - Trade,IN4405,"Superior Pipeline Texas, LLC",20183851441207000012,"6,119.10",,,
3/22/19,LAT Europe Belgium,LAT Europe,,,11100-0000,AR - Trade,IN4414,LAT Europe,FNRLATE1974,"44,979.83",,,
3/26/19,Southern Company,Southern Company Gas,,,11100-0000,AR - Trade,IN4406,Southern Company Gas,98181,"16,375.00",,,
3/26/19,Targa Pipeline,Targa Pipeline Mid-Continent WestTexLLC,,,11100-0000,AR - Trade,IN4407,Targa Pipeline Mid-Continent WestTexLLC,TAR68453,"9,320.07",,,
3/26/19,Enterprise,"Enterprise Field Service, LLC",,,11100-0000,AR - Trade,IN4408,"Enterprise Field Service, LLC",248567,"6,405.00",,,
3/26/19,Flint Hills,"Flint Hills Resources Houston Chem.,LLC",,,11100-0000,AR - Trade,IN4409,"Flint Hills Resources Houston Chem.,LLC",HCP20108,"167,054.00",,,
3/27/19,Matheson Tri-Gas TX,Matheson Tri-Gas,,,11100-0000,AR - Trade,IN4410,Matheson Tri-Gas,830-018-064,"41,731.78",,,
3/29/19,UOP,UOP RUSSELL LLC,,,11100-0000,AR - Trade,IN4387,UOP RUSSELL LLC,4500865086,"300,343.75",,,
3/29/19,UOP,UOP RUSSELL LLC,,,11100-0000,AR - Trade,IN4401,UOP RUSSELL LLC,4500876918,"48,750.00",,,
3/29/19,LAT Europe Belgium,LAT Europe,,,11100-0000,AR - Trade,IN4411,LAT Europe,FNRLATE1982,"12,690.00",,,
3/29/19,Alpine,Alpine High Processing LLC. c/o Apache,,,11100-0000,AR - Trade,IN4412,Alpine High Processing LLC. c/o Apache,101816,"7,531.66",,,
3/1/19,Samsung,"Samsung Engineering Co.,Ltd.",87700438,,11300-0000,Other Receivables,02-07G SKF/FS Sales,Est Sales for Badra Trip #8 (01/14/19-02/21/19),," (126,938.99)",,,
3/1/19,Samsung,"Samsung Engineering Co.,Ltd.",87700438,,23100-0000,Billings in Excess of Cost,02-07G SKF/FS Sales,Advance down payment for LAT & SKF Field service,," (200,000.00)",,,
3/31/19,Samsung,"Samsung Engineering Co.,Ltd.",87700438,,11300-0000,Other Receivables,03-07G FS Sales,Est Sales for Badra Trip #8 (01/14/19-02/21/19),," 126,636.04 ",,,
